node1,label,node2
Aerys II,in,cluster_26
Ronald Vance,in,cluster_1656
House Vance of Atranta,in,cluster_1656
Martyn Cassel,in,cluster_1656
House Cassel,in,cluster_1656
Jyanna Frey,in,cluster_1675
Benfrey Frey,in,cluster_1675
Herrock Kenning,in,cluster_200
House Kenning of Kayce,in,cluster_200
Robb Stark,in,cluster_35
Walder Rivers,in,cluster_1675
Mellario,in,cluster_26
Doran Martell,in,cluster_26
House Qorgyle of Sandstone,in,cluster_26
Osmund Frey,in,cluster_1675
Hubard Rambton,in,cluster_26
House Rambton,in,cluster_26
Donnis,in,cluster_1656
House Falwell,in,cluster_35
Shatterstone,in,cluster_200
House Goodbrother of Shatterstone,in,cluster_200
Alyn,in,cluster_1656
Desmond Grell,in,cluster_1917
House Grell,in,cluster_1917
House Wagstaff,in,cluster_627
Aegon Targaryen,in,cluster_1907
House Hook,in,cluster_1917
Romny Weaver,in,cluster_200
House Weaver,in,cluster_200
Osfryd Kettleblack,in,cluster_26
House Kettleblack,in,cluster_26
House Hawthorne,in,cluster_35
House Norridge,in,cluster_11
Rodrik Stark,in,cluster_1656
Oldcastle,in,cluster_1656
House Locke of Oldcastle,in,cluster_1656
House Manning,in,cluster_26
Hugh Beesbury,in,cluster_11
House Beesbury of Honeyholt,in,cluster_11
Raynald Westerling,in,cluster_35
House Kidwell of Ivy Hall,in,cluster_11
House Reed of Greywater Watch,in,cluster_200
Howland Reed,in,cluster_200
Gull Tower,in,cluster_1907
House Shett of Gull Tower,in,cluster_1907
Holyhall,in,cluster_11
House Graceford of Holyhall,in,cluster_11
Tyana Wylde,in,cluster_1675
House Wylde of Rain House,in,cluster_627
Norbert Vance,in,cluster_1656
Aubrey Ambrose,in,cluster_11
House Ambrose,in,cluster_11
Bandallon,in,cluster_11
House Blackbar of Bandallon,in,cluster_11
Saera Targaryen,in,cluster_26
Willem Darry,in,cluster_26
House Darry of Darry,in,cluster_26
Ryam Florent,in,cluster_11
House Florent of Brightwater Keep,in,cluster_11
Harry Strickland,in,cluster_1917
House Strickland,in,cluster_1917
Blackpool,in,cluster_1656
House Slate of Blackpool,in,cluster_1656
Witch Isle,in,cluster_1907
House Upcliff,in,cluster_1907
Aerys I,in,cluster_26
Aelinor Penrose,in,cluster_26
Lythene Frey,in,cluster_1675
Lucias Vypren,in,cluster_627
Patrek Mallister,in,cluster_1917
House Mallister of Seagard,in,cluster_1917
House Toland of Ghost Hill,in,cluster_1656
House Darke,in,cluster_26
Drennan,in,cluster_200
House Greyjoy of Pyke,in,cluster_200
Pycelle,in,cluster_26
Beric Dondarrion,in,cluster_26
Ormond Westerling,in,cluster_35
House Tyrell of Brightwater Keep,in,cluster_11
House Coldwater of Coldwater Burn,in,cluster_1907
Jon Snow,in,cluster_1656
Viserys Plumm,in,cluster_35
House Plumm,in,cluster_35
Cassana Estermont,in,cluster_627
Stannis Baratheon,in,cluster_627
The Dreadfort,in,cluster_1656
Kingsgrave,in,cluster_26
House Uller of Hellholt,in,cluster_26
Harmen Uller,in,cluster_26
Old Wyk,in,cluster_200
House Stonehouse of Old Wyk,in,cluster_200
House Lannister of Lannisport,in,cluster_35
Willis Wode,in,cluster_35
House Whent of Harrenhal,in,cluster_35
Cedra,in,cluster_26
House Cave,in,cluster_26
Andar Royce,in,cluster_1907
Utherydes Wayn,in,cluster_1917
Shireen Baratheon,in,cluster_627
the Antlers,in,cluster_26
House Buckwell of the Antlers,in,cluster_26
House Heddle,in,cluster_1917
High Hermitage,in,cluster_26
House Dayne of High Hermitage,in,cluster_26
Barrow Hall,in,cluster_1656
House Dustin of Barrowton,in,cluster_1656
Jhogo,in,cluster_26
Harrenhal,in,cluster_1917
House Strong of Harrenhal,in,cluster_1917
Aegon Frey,in,cluster_1675
Corwyn Corbray,in,cluster_1907
House Corbray of Heart's Home,in,cluster_1907
Deana Hardyng,in,cluster_1675
Alysanne Hightower,in,cluster_11
House Sharp,in,cluster_200
House Crowl of Deepdown,in,cluster_1656
House Ryder of the Rills,in,cluster_1656
Elwood Meadows,in,cluster_627
House Meadows of Grassy Vale,in,cluster_627
Robyn Ryswell,in,cluster_1656
Jonnel Stark,in,cluster_1656
Jaehaerys II,in,cluster_26
Ambrose Butterwell,in,cluster_26
House Butterwell,in,cluster_26
Richard Horpe,in,cluster_627
Corlys Velaryon,in,cluster_26
Velaena Velaryon,in,cluster_26
House Bridges,in,cluster_11
Newkeep,in,cluster_1907
House Hersy of Newkeep,in,cluster_1907
Bethany Bolton,in,cluster_1656
Alannys Harlaw,in,cluster_200
Arron Qorgyle,in,cluster_26
House Durwell,in,cluster_11
Theon Greyjoy,in,cluster_200
Barristan Selmy,in,cluster_26
Warryn Beesbury,in,cluster_11
Daenaera Velaryon,in,cluster_26
Daeron I,in,cluster_26
Harrold Westerling,in,cluster_35
Jeffory Norcross,in,cluster_11
House Norcross,in,cluster_11
House Holt,in,cluster_1656
Pearse Caron,in,cluster_627
House Caron of Nightsong,in,cluster_627
House Stokeworth of Stokeworth,in,cluster_11
Gyles Farwynd,in,cluster_200
Jenny of Oldstones,in,cluster_26
Duncan Targaryen,in,cluster_26
Rolland Storm,in,cluster_627
Addam Velaryon,in,cluster_26
Erena Glover,in,cluster_1656
House Glover of Deepwood Motte,in,cluster_1656
House Goodbrother of Corpse Lake,in,cluster_200
Iron Islands,in,cluster_200
Craster,in,cluster_200
Nella,in,cluster_200
Terrence Kenning,in,cluster_200
Symon Santagar,in,cluster_26
House Santagar of Spottswood,in,cluster_26
Jon Myre,in,cluster_200
House Myre of Harlaw,in,cluster_200
Cyrenna Swann,in,cluster_1675
Denyse Hightower,in,cluster_11
House Hightower of the Hightower,in,cluster_11
Beony Beesbury,in,cluster_1675
Terrance Lynderly,in,cluster_1907
House Lynderly of the Snakewood,in,cluster_1907
House Deddings,in,cluster_1917
Tion Lannister,in,cluster_35
Ronnel Stout,in,cluster_1656
House Stout of Goldgrass,in,cluster_1656
Rickard Thorne,in,cluster_26
House Thorne,in,cluster_26
House Ruthermont,in,cluster_1907
Melessa Florent,in,cluster_11
Selyse Florent,in,cluster_627
Teora Kyndall,in,cluster_35
House Kyndall,in,cluster_35
Andros Brax,in,cluster_1675
House Brax of Hornvale,in,cluster_14
Lyonel Tyrell,in,cluster_11
Zachery Frey,in,cluster_1675
House Cockshaw,in,cluster_11
Greenstone,in,cluster_26
House Estermont of Greenstone,in,cluster_26
Tymor,in,cluster_200
Sybelle Glover,in,cluster_1656
Robett Glover,in,cluster_1656
Myria Jordayne,in,cluster_26
Humfrey Clifton,in,cluster_35
House Clifton,in,cluster_35
House Hogg of Sow's Horn,in,cluster_26
Waltyr Frey,in,cluster_1675
Aegon V,in,cluster_26
Ossifer Plumm,in,cluster_35
House Blount,in,cluster_26
Roslin Frey,in,cluster_1917
House Justman,in,cluster_1917
Syrio Forel,in,cluster_1656
House Quagg,in,cluster_200
Denys Arryn,in,cluster_1907
Carrot,in,cluster_1907
House Royce of the Gates of the Moon,in,cluster_1907
House Durrandon,in,cluster_627
Brella,in,cluster_35
Alyssa Velaryon,in,cluster_26
Gwayne Gaunt,in,cluster_26
House Gaunt,in,cluster_26
Brandon Stark,in,cluster_1917
Rupert Crabb,in,cluster_26
House Crabb,in,cluster_26
Daeron II,in,cluster_26
the Paps,in,cluster_1907
House Elesham of the Paps,in,cluster_1907
Pate,in,cluster_35
Willam Wells,in,cluster_1656
House Wells,in,cluster_1656
Denys Drumm,in,cluster_200
House Drumm of Old Wyk,in,cluster_200
House Banefort of Banefort,in,cluster_14
Quenten Banefort,in,cluster_1675
House Algood,in,cluster_35
Manfred Lothston,in,cluster_1917
Dake,in,cluster_35
House Osgrey of Standfast,in,cluster_14
Renly Norcross,in,cluster_11
Haegon Blackfyre,in,cluster_26
House Blackfyre of King's Landing,in,cluster_26
Walda Frey,in,cluster_1656
Rylene Florent,in,cluster_11
Rycherd Crane,in,cluster_11
Leona Woolfield,in,cluster_1656
House Woolfield,in,cluster_1656
Daena Targaryen,in,cluster_26
Olene Tyrell,in,cluster_11
House Tallhart of Torrhen's Square,in,cluster_1656
House Haigh,in,cluster_14
House Shawney,in,cluster_1917
Cersei Lannister,in,cluster_35
Mudge,in,cluster_1675
Tytos Lannister,in,cluster_35
Jeyne Marbrand,in,cluster_35
Devan Seaworth,in,cluster_627
Robert Brax,in,cluster_1675
Ermesande Hayford,in,cluster_35
House Goodbrother of Orkmont,in,cluster_200
Leyton Hightower,in,cluster_11
Argrave the Defiant,in,cluster_26
House Sarwyck,in,cluster_35
Meldred Merlyn,in,cluster_200
House Merlyn of Pebbleton,in,cluster_200
House Branch,in,cluster_1656
Balon Swann,in,cluster_627
House Swann of Stonehelm,in,cluster_627
Aemma Arryn,in,cluster_26
House Connington of Griffin's Roost,in,cluster_627
Wylla,in,cluster_26
House Dayne of Starfall,in,cluster_26
House Boggs of Crackclaw Point,in,cluster_26
House Waynwood of Ironoaks,in,cluster_26
"None, formerly Harrenhal",in,cluster_26
House Slynt of Harrenhal,in,cluster_26
Shella Whent,in,cluster_35
Blacktyde,in,cluster_200
House Blacktyde of Blacktyde,in,cluster_200
Gawen Glover,in,cluster_1656
Wilbert Osgrey,in,cluster_1675
Gorold Goodbrother,in,cluster_200
Arwyn Frey,in,cluster_1675
House Rollingford,in,cluster_26
House Flint of Flint's Finger,in,cluster_1656
House Flint  of the mountains,in,cluster_1656
House Vaith of the Red Dunes,in,cluster_26
Archibald Yronwood,in,cluster_26
House Yronwood of Yronwood,in,cluster_26
Gretchel,in,cluster_1907
Robert Arryn,in,cluster_1907
Pebbleton,in,cluster_200
Luwin,in,cluster_1656
Merlon Crakehall,in,cluster_1917
Alysanne Bulwer,in,cluster_11
House Bulwer of Blackcrown,in,cluster_11
Willit,in,cluster_35
House Swyft of Cornfield,in,cluster_35
Leonella Lefford,in,cluster_1675
House Glenmore,in,cluster_1656
Dacks,in,cluster_1907
Gawen Westerling,in,cluster_35
Erik Ironmaker,in,cluster_200
House Ironmaker,in,cluster_200
House Yew,in,cluster_35
Olenna Redwyne,in,cluster_11
Meryn Trant,in,cluster_627
House Trant of Gallowsgrey,in,cluster_627
Jeyne Westerling,in,cluster_35
House Rowan of Goldengrove,in,cluster_11
Rowan Gold-Tree,in,cluster_11
Gevin Harlaw,in,cluster_200
House Harlaw of Harlaw,in,cluster_200
House Gardener of Highgarden,in,cluster_11
House Ryger of Willow Wood,in,cluster_1917
Baelon Targaryen,in,cluster_26
House Tarly of Horn Hill,in,cluster_11
Randyll Tarly,in,cluster_11
House Wyl of the Boneway,in,cluster_26
Leo Blackbar,in,cluster_11
Cley Cerwyn,in,cluster_1656
House Cerwyn of Cerwyn,in,cluster_1656
Mikken,in,cluster_1656
Wyl,in,cluster_26
Lord Hewett's castle on Oakenshield,in,cluster_11
House Hewett of Oakenshield,in,cluster_11
Daegon Shepherd,in,cluster_200
House Shepherd,in,cluster_200
Petyr Baelish,in,cluster_1917
Hugh,in,cluster_1907
The Dyre Den,in,cluster_26
House Brune of the Dyre Den,in,cluster_26
Edwyn Frey,in,cluster_1675
House Crane of Red Lake,in,cluster_11
Emphyria Vance,in,cluster_1917
House Vance of Wayfarer's Rest,in,cluster_1917
Storm's End,in,cluster_627
Symond Botley,in,cluster_200
Tygett Lannister,in,cluster_35
House Donniger,in,cluster_1907
Brynden Tully,in,cluster_1907
House Harclay,in,cluster_1656
Gage,in,cluster_1656
Gareth Clifton,in,cluster_35
House Thenn,in,cluster_1917
House Rykker of Duskendale,in,cluster_26
Renfred Rykker,in,cluster_26
Maelor Targaryen,in,cluster_26
Lucas Lothston,in,cluster_1917
Falena Stokeworth,in,cluster_1917
House Reyne of Castamere,in,cluster_35
Tyrion Lannister,in,cluster_1917
Aegon III,in,cluster_26
Daenerys Targaryen,in,cluster_26
Anya Waynwood,in,cluster_26
Aegon II,in,cluster_26
Robar Royce,in,cluster_1907
Walton Stark,in,cluster_1656
Jonos Bracken,in,cluster_1675
Glendon Hewett,in,cluster_11
Sylwa Paege,in,cluster_1675
Ben,in,cluster_35
Baelor I,in,cluster_26
Harwood Stout,in,cluster_1656
Alyssa Targaryen,in,cluster_26
House Follard,in,cluster_26
Kevan Lannister,in,cluster_35
Lyonel Corbray,in,cluster_1907
Harlon Greyjoy,in,cluster_200
Jaehaera Targaryen,in,cluster_26
Aegon IV,in,cluster_26
Alyn Hunt,in,cluster_11
House Hunt,in,cluster_11
House Herston,in,cluster_627
Castamere,in,cluster_35
House Spicer of Castamere,in,cluster_35
House Serry of Southshield,in,cluster_11
Aerion Targaryen,in,cluster_26
Robyn Rhysling,in,cluster_11
House Rhysling,in,cluster_11
House Drox,in,cluster_35
Lord Staunton,in,cluster_1675
Bethany Redwyne,in,cluster_11
Darkdell,in,cluster_11
House Vyrwel of Darkdell,in,cluster_11
Mors Martell,in,cluster_26
Nymeria,in,cluster_26
Lorra Royce,in,cluster_1656
Beron Stark,in,cluster_1656
House Doggett,in,cluster_35
Walder Frey,in,cluster_14
Willis Fell,in,cluster_627
House Fell of Felwood,in,cluster_627
Manfryd Lothston,in,cluster_1917
Skittrick,in,cluster_1656
"Tower of Glimmering, Harlaw",in,cluster_200
House Harlaw of the Tower of Glimmering,in,cluster_200
Dagon Greyjoy,in,cluster_200
Ninestars,in,cluster_1907
House Templeton,in,cluster_1907
Jaime Frey,in,cluster_1675
Rickard Karstark,in,cluster_1917
House Karstark of Karhold,in,cluster_1917
Ryella Royce,in,cluster_1675
Arwood Frey,in,cluster_1675
House Sunderly of Saltcliffe,in,cluster_200
House Lannett,in,cluster_35
Harwin,in,cluster_1656
Gallowsgrey,in,cluster_627
Cassella Vaith,in,cluster_26
Clegane,in,cluster_1675
Tommard Heddle,in,cluster_26
Halmon Paege,in,cluster_1917
Gerrick,in,cluster_11
House Redbeard,in,cluster_11
Wendel Manderly,in,cluster_1656
House Goodbrother of Crow Spike Keep,in,cluster_200
House Cafferen of Fawnton,in,cluster_627
Crow's Nest,in,cluster_627
Corenna Swann,in,cluster_1675
Great Wyk,in,cluster_200
House Sparr of Great Wyk,in,cluster_200
Tywin Frey,in,cluster_1917
Rhaegar Targaryen,in,cluster_26
House Flint of Widow's Watch,in,cluster_1656
Leslyn Haigh,in,cluster_1675
Mathis Rowan,in,cluster_11
Theo Wull,in,cluster_1656
House Wull,in,cluster_1656
Tytos Brax,in,cluster_1675
House Towers of Harrenhal,in,cluster_1917
Horas Redwyne,in,cluster_11
Cayn,in,cluster_1656
Aemon Estermont,in,cluster_26
Tya Lannister,in,cluster_627
Ballabar,in,cluster_11
Aenys I,in,cluster_26
Cornfield,in,cluster_35
Ben Bushy,in,cluster_11
House Bushy,in,cluster_11
Daeron Targaryen,in,cluster_26
Baelor Hightower,in,cluster_11
House Varner,in,cluster_11
Orton Merryweather,in,cluster_11
House Merryweather of Longtable,in,cluster_11
Blackmont,in,cluster_26
House Blackmont of Blackmont,in,cluster_26
Ormund Wylde,in,cluster_627
House Moss,in,cluster_1656
Ella Lannister,in,cluster_35
Lharys,in,cluster_1675
House Swygert,in,cluster_627
Frankyln Fowler,in,cluster_1907
House Fowler of Skyreach,in,cluster_1907
Wylis Manderly,in,cluster_1656
Rolfe,in,cluster_200
Sigorn,in,cluster_1917
House Vypren,in,cluster_627
Annara Farring,in,cluster_1675
The Eyrie (summer),in,cluster_1907
Edmure Tully,in,cluster_1917
House Torrent of Littlesister,in,cluster_1907
Alesandor Torrent,in,cluster_1907
House Hornwood of Hornwood,in,cluster_1656
Corpse Lake,in,cluster_200
House Redding,in,cluster_11
House Woods,in,cluster_1656
Highgarden,in,cluster_11
Mylenda Caron,in,cluster_1675
Gwyneth Yronwood,in,cluster_26
Elbert Arryn,in,cluster_1907
Alys Beesbury,in,cluster_11
Rosby,in,cluster_26
House Rosby of Rosby,in,cluster_26
Humfrey Hewett,in,cluster_11
Titus Peake,in,cluster_11
House Peake of Starpike,in,cluster_11
House Harte,in,cluster_26
Steffon Seaworth,in,cluster_627
Atranta,in,cluster_1656
House Middlebury,in,cluster_11
House Vikary,in,cluster_35
Lymond Vikary,in,cluster_35
Theomar Smallwood,in,cluster_1917
House Branfield,in,cluster_1656
House Qoherys of Harrenhal,in,cluster_1917
Eustace Brune,in,cluster_26
Edric Dayne,in,cluster_26
Unknown,in,cluster_26
Qyburn,in,cluster_35
Oldstones,in,cluster_1917
House Mudd of Oldstones,in,cluster_1917
Qarlton Chelsted,in,cluster_26
Oswell Whent,in,cluster_35
Cleos Frey,in,cluster_1675
Jeyne Darry,in,cluster_26
Jon Bulwer,in,cluster_11
House Moreland,in,cluster_35
House Roxton of the Ring,in,cluster_11
Robin Peasebury,in,cluster_627
House Ferren,in,cluster_35
House Liddle,in,cluster_1656
Torren Liddle,in,cluster_1656
Creighton Redfort,in,cluster_1907
House Goodbrother of Downdelving,in,cluster_200
House Wode,in,cluster_1917
Elia Martell,in,cluster_26
House Hamell,in,cluster_35
House Garner,in,cluster_35
Victaria Tyrell,in,cluster_11
House Harlton,in,cluster_1917
Marya Seaworth,in,cluster_627
Henly,in,cluster_1656
Elmar Frey,in,cluster_1675
Ynys Yronwood,in,cluster_26
House Allyrion of Godsgrace,in,cluster_26
Benedict Broom,in,cluster_35
House Broom,in,cluster_35
Shortear,in,cluster_35
Humfrey Wagstaff,in,cluster_627
Gwayne Hightower,in,cluster_11
House Charlton,in,cluster_1917
Jeyne Goodbrook,in,cluster_1917
House Goodbrook,in,cluster_1917
Moon Boy,in,cluster_26
Sylva Santagar,in,cluster_26
Eldon Estermont,in,cluster_26
Betha Blackwood,in,cluster_26
Asha Greyjoy,in,cluster_200
House Sloane,in,cluster_11
Kirth Vance,in,cluster_1656
Desmond Redwyne,in,cluster_11
Mina Tyrell,in,cluster_11
Erryk,in,cluster_11
Franklyn Frey,in,cluster_1675
Porridge,in,cluster_627
House Foote of Nightsong,in,cluster_35
Harren Botley,in,cluster_200
Halys Hornwood,in,cluster_1656
Paxter Redwyne,in,cluster_11
Steffon Stackspear,in,cluster_35
House Stackspear,in,cluster_35
Myranda Lefford,in,cluster_35
House Lefford of the Golden Tooth,in,cluster_35
House Stackhouse,in,cluster_11
Brandon Tallhart,in,cluster_1656
Parmen Crane,in,cluster_11
Garth Greenhand,in,cluster_11
Garth the Gardener,in,cluster_11
Skahaz mo Kandaq,in,cluster_26
Uthor Tollett,in,cluster_1907
House Tollett of the Grey Glen,in,cluster_1907
Oswell Kettleblack,in,cluster_26
Desmond,in,cluster_1656
Reznak mo Reznak,in,cluster_26
House Melcolm of Old Anchor,in,cluster_1907
Trebor Jordayne,in,cluster_26
Walda Rivers,in,cluster_1675
Steffon Baratheon,in,cluster_627
Daeron Vaith,in,cluster_26
Martyn Rivers,in,cluster_1675
House Harlaw of Grey Garden,in,cluster_200
Bennis,in,cluster_1675
Jon Connington,in,cluster_627
Karlon Stark,in,cluster_1917
Jared Frey,in,cluster_1675
Quentyn Blackwood,in,cluster_1656
Balman Byrch,in,cluster_11
House Byrch,in,cluster_11
Hosman Norcross,in,cluster_11
Delena Florent,in,cluster_11
John the Oak,in,cluster_1917
Wulfe,in,cluster_200
House Shell,in,cluster_1907
Dyah,in,cluster_200
Sealskin Point,in,cluster_200
House Farwynd of Sealskin Point,in,cluster_200
Megga Tyrell,in,cluster_11
Quellon Greyjoy,in,cluster_200
The Last Hearth,in,cluster_1656
Wylla Manderly,in,cluster_1656
Clegane's Keep,in,cluster_1675
Mandon Moore,in,cluster_1907
Harra,in,cluster_35
House Ball,in,cluster_11
Oberyn Nymeros Martell,in,cluster_26
Ellaria Sand,in,cluster_26
House Orme,in,cluster_11
Arra Norrey,in,cluster_1656
Selwyn Tarth,in,cluster_627
Lyonel Frey,in,cluster_1917
House Frey of Riverrun,in,cluster_1917
Denys Mallister,in,cluster_1917
House Baelish of the Fingers,in,cluster_1917
Stonehelm,in,cluster_627
Gates of the Moon (winter),in,cluster_1907
Osbert Serry,in,cluster_11
House Hardyng,in,cluster_1907
Hoare Castle,in,cluster_200
House Hoare of Orkmont,in,cluster_200
Jason Mallister,in,cluster_1917
House Harroway of Harrenhal,in,cluster_1917
Moribald Chester,in,cluster_11
House Chester of Greenshield,in,cluster_11
Extinct (formerly Leafy Lake),in,cluster_1675
House Osgrey of Leafy Lake,in,cluster_1675
Rohanne Webber,in,cluster_14
Jon Fossoway,in,cluster_11
House Fossoway of New Barrel,in,cluster_11
Colin Florent,in,cluster_11
Perra Frey,in,cluster_1675
Deepdown,in,cluster_1656
Appleton,in,cluster_11
House Appleton of Appleton,in,cluster_11
House Grimm of Greyshield,in,cluster_11
House Orkwood of Orkmont,in,cluster_200
Roryn Drumm,in,cluster_200
Jeyne Fossoway,in,cluster_11
"Harridan Hill, Harlaw",in,cluster_200
House Harlaw of Harridan Hill,in,cluster_200
Leona Tyrell,in,cluster_11
Casterly Rock,in,cluster_35
